label,value
"Santa Cruz  
                        ",643
"Santa Lucia  
                        ",644
"Santa Maria  
                        ",645
"Santiago  
                        ",646
"Santo Domingo  
                        ",647
"Sigay  
                        ",648
"Sinait  
                        ",649
"Sugpon  
                        ",650
"Suyo  
                        ",651
"Tagudin  
                        ",652
"Iloilo City  
                        ",653
"Passi City  
                        ",654
"Ajuy  
                        ",655
"Alimodian  
                        ",656
"Anilao  
                        ",657
"Badiangan  
                        ",658
"Balasan  
                        ",659
"Banate  
                        ",660
"Barotac Nuevo  
                        ",661
"Barotac Viejo  
                        ",662
"Batad  
                        ",663
"Bingawan  
                        ",664
"Cabatuan  
                        ",665
"Calinog  
                        ",666
"Carles  
                        ",667
"Concepcion  
                        ",668
"Dingle  
                        ",669
"Dueñas  
                        ",670
"Dumangas  
                        ",671
"Estancia  
                        ",672
"Guimbal  
                        ",673
"Igbaras  
                        ",674
"Janiuay  
                        ",675
"Lambunao  
                        ",676
"Leganes  
                        ",677
"Lemery  
                        ",678
"Leon  
                        ",679
"Maasin  
                        ",680
"Miagao  
                        ",681
"Mina  
                        ",682
"New Lucena  
                        ",683
"Oton  
                        ",684
"Pavia  
                        ",685
"Pototan  
                        ",686
"San Dionisio  
                        ",687
"San Enrique  
                        ",688
"San Joaquin  
                        ",689
"San Miguel  
                        ",690
"San Rafael  
                        ",691
"Santa Barbara  
                        ",692
"Sara  
                        ",693
"Tigbauan  
                        ",694
"Tubungan  
                        ",695
"Zarraga  
                        ",696
"Cauayan City  
                        ",697
"Santiago City  
                        ",698
"Alicia  
                        ",699
"Angadanan  
                        ",700
"Aurora  
                        ",701
"Benito Soliven  
                        ",702
"Burgos  
                        ",703
"Cabagan  
                        ",704
"Cabatuan  
                        ",705
"Cordon  
                        ",706
"Delfin Albano  
                        ",707
"Dinapigue  
                        ",708
"Divilacan  
                        ",709
"Echague  
                        ",710
"Gamu  
                        ",711
"Ilagan  
                        ",712
"Jones  
                        ",713
"Luna  
                        ",714
"Maconacon  
                        ",715
"Mallig  
                        ",716
"Naguilian  
                        ",717
"Palanan  
                        ",718
"Quezon  
                        ",719
"Quirino  
                        ",720
"Ramon  
                        ",721
"Reina Mercedes  
                        ",722
"Roxas  
                        ",723
"San Agustin  
                        ",724
"San Guillermo  
                        ",725
"San Isidro  
                        ",726
"San Manuel  
                        ",727
"San Mariano  
                        ",728
"San Mateo  
                        ",729
"San Pablo  
                        ",730
"Santa Maria  
                        ",731
"Santo Tomas  
                        ",732
"Tumauini  
                        ",733
"Tabuk  
                        ",734
"Balbalan  
                        ",735
"Lubuagan  
                        ",736
"Pasil  
                        ",737
"Pinukpuk  
                        ",738
"Rizal  
                        ",739
"Tanudan  
                        ",740
"Tinglayan  
                        ",741
"San Fernando City  
                        ",742
"Agoo  
                        ",743
"Aringay  
                        ",744
"Bacnotan  
                        ",745
"Bagulin  
                        ",746
"Balaoan  
                        ",747
"Bangar  
                        ",748
"Bauang  
                        ",749
"Burgos  
                        ",750
"Caba  
                        ",751
"Luna  
                        ",752
"Naguilian  
                        ",753
"Pugo  
                        ",754
"Rosario  
                        ",755
"San Gabriel  
                        ",756
"San Juan  
                        ",757
"Santo Tomas  
                        ",758
"Santol  
                        ",759
"Sudipen  
                        ",760
"Tubao  
                        ",761
"Biñan City  
                        ",762
"Calamba City  
                        ",763
"San Pablo City  
                        ",764
"Santa Rosa City  
                        ",765
"Alaminos  
                        ",766
"Bay  
                        ",767
"Cabuyao  
                        ",768
"Calauan  
                        ",769
"Cavinti  
                        ",770
"Famy  
                        ",771
"Kalayaan  
                        ",772
"Liliw  
                        ",773
"Los Baños  
                        ",774
"Luisiana  
                        ",775
"Lumban  
                        ",776
"Mabitac  
                        ",777
"Magdalena  
                        ",778
"Majayjay  
                        ",779
"Nagcarlan  
                        ",780
"Paete  
                        ",781
"Pagsanjan  
                        ",782
"Pakil  
                        ",783
"Pangil  
                        ",784
"Pila  
                        ",785
"Rizal  
                        ",786
"San Pedro  
                        ",787
"Santa Cruz  
                        ",788
"Santa Maria  
                        ",789
"Siniloan  
                        ",790
"Victoria  
                        ",791
"Iligan City  
                        ",792
"Bacolod  
                        ",793
"Baloi  
                        ",794
"Baroy  
                        ",795
"Kapatagan  
                        ",796
"Kauswagan  
                        ",797
